FishName,Fish Length (pixel),FishArea(pixel^2),SpineLength(pixel),SpineCurvature(degrees),MaximumAnteriorCurve(degrees),MaximumPosteriorCurve(degrees),AverageVertebraLength,StandardDeviationVertebraLength,AverageVertebraArea,StandardDeviationVertebraArea,AverageBMD,StandardDeviationBMD,AverageDiskHealth,StandardDeviationDiskHealth,Age Cohort,Group
I20200224191953.1.dcm,1998,1998,959653,1942,0,11.36,55.606,4.272,1436.1,216.873,12.547,5.79,8.448601872,5.859049462,Young 2,Wild Type
I20200224191953.2.dcm,2810,2810,1233667,2148,13.7,0,64.138,7.988,1928.7,255.165,16.435,5.968,10.65201525,7.023161932,Young 2,Wild Type
I20200224191953.3.dcm,2689,2689,1634448,2305,31.56,18.79,67.548,9.004,2174.909,216.804,18.15,8.814,8.509719791,11.21937231,Young 2,Wild Type
I20200224191953.4.dcm,2895,2895,1202564,2247,11.46,7.97,64.031,6.478,1922.1,427.105,18.511,5.665,14.58613509,5.742116951,Young 2,Wild Type
I20200224191953.5.dcm,3209,3209,1798594,2682,18.01,0,85.854,38.724,3138.5,1385.28,25.169,5.22,18.93661347,5.292678352,Young 2,Wild Type
I20200224192348.1.dcm,2359,2359,940839,1944,11.81,0,52.492,3.612,1191.9,149.459,10.725,6.19,7.360201119,6.627360253,Old,Wild Type
I20200224192348.2.dcm,2961,2961,1279779,2620,30.68,0,68.614,8.082,1788.8,189.124,22.453,6.278,17.9353703,5.325116955,Old,Wild Type
I20200224192348.3.dcm,2523,2523,1491218,2300,26.27,0,65.713,2.888,1967.6,141.184,19.074,4.937,6.697009882,5.621532206,Old,Wild Type
I20200224192348.4.dcm,1997,1997,1499166,2079,0,0,72.759,25.146,2132.444,713.568,24.707,4.647,15.95833316,4.017470989,Old,Wild Type
I20200224192348.5.dcm,2833,2833,1694654,2211,20.84,0,74.133,21.226,2260.333,550.476,37.409,6.203,27.98128688,6.384285104,Old,Wild Type
I20200224192511.1.dcm,2353,2353,936323,1958,14.65,0,63.085,18.07,1536.111,372.137,13.538,5.804,8.815322342,5.479559591,Old,Wild Type
I20200224192511.2.dcm,3297,3297,1860159,2543,22.2,17,65.956,4.919,2106.3,230.924,31.029,7.674,25.93975281,7.41893281,Old,Wild Type
I20200224192511.3.dcm,2618,2618,1331215,2031,34.58,22.78,52.916,11.936,1446.2,352.955,19.277,5.532,18.18956332,5.032494859,Old,Wild Type
I20200224192511.4.dcm,3179,3179,1830024,2403,28.27,0,80.746,10.313,2332.3,318.242,24.654,5.169,15.53298547,4.253310975,Old,Wild Type
I20200224192932.1.dcm,2318,2318,920597,1907,25.58,16.79,55.956,4.491,1255.5,138.542,11.097,5.726,6.456092362,5.801734739,Old,Wild Type
I20200224192932.2.dcm,2746,2746,1802404,2365,43.64,23.39,75.135,12.729,2353,417.861,35.359,8.254,31.2778066,7.030293537,Old,Wild Type
I20200224192932.3.dcm,2527,2527,1666205,2331,26.2,0,102.447,25.604,2547.75,605.365,31.541,6.451,24.22582671,5.902741607,Old,Wild Type
I20200224193136.1.dcm,2315,2315,912881,1859,15.57,0,52.08,3.526,1032.6,157.455,10.928,5.795,7.100762201,5.786306142,Old,Wild Type
I20200224193136.2.dcm,2780,2780,1565525,2502,24.25,14.6,81.385,23.978,2466.444,765.317,30.818,7.28,23.25025896,5.786822767,Old,Wild Type
I20200224193136.3.dcm,2784,2784,1622897,2538,21.94,0,96.607,22.44,2557.667,528.088,27.171,7.467,19.55525534,5.853447861,Old,Wild Type
I20200224193136.4.dcm,3310,3310,2059159,2690,23.75,0,93.027,25.598,3141,819.968,37.467,7.976,30.82012214,5.594894103,Old,Wild Type
I20200224193318.1.dcm,2324,2324,913228,1929,19.2,9.89,54.699,5.103,1215.6,249.786,12.405,5.399,8.935749474,5.518908212,Old,Wild Type
I20200224193318.2.dcm,2583,2583,993196,2025,14.51,0,60.96,3.973,1631.6,131.814,13.35,4.202,6.178002626,3.79430222,Young 2,1
I20200224193318.3.dcm,2539,2539,1103600,2065,15.25,9.27,56.76,2.89,1442.6,85.153,12.494,6.326,7.203678203,5.677252672,Young 2,1
I20200224193318.4.dcm,2657,2657,1129604,2113,13.55,6.5,59.343,3.928,1593.1,226,17.189,5.423,17.45509261,6.406424276,Young 2,1
I20200224193318.5.dcm,2545,2545,1048883,2300,9.9,0,53.633,3.334,1183.6,142.373,17.023,4.744,17.70339857,5.402562711,Young 2,1
I20200224193318.6.dcm,2593,2593,1071308,2074,11.19,0,58.195,4.758,1602,282.922,13.931,4.072,9.934788696,3.635745977,Young 2,1
I20200224193448.1.dcm,2340,2340,913991,1943,17.76,0,63.01,23.14,1489.889,668.578,11.412,6.041,6.813807065,5.536571606,Young 2,1
I20200224193448.2.dcm,2811,2811,1240336,2118,11.1,0,63.51,5.884,1677.6,330.298,20.296,5.412,13.52619693,5.061948052,Young 2,1
I20200224193448.3.dcm,2541,2541,1506474,2291,17.68,0,59.478,4.646,1647.4,210.941,27.651,9.239,23.15482481,9.286195481,Young 2,1
I20200224193448.4.dcm,2963,2963,1722413,2449,18.93,0,63.697,6.824,2004.636,357.077,24.288,7.948,17.62589976,7.038632071,Young 2,1
I20200224193448.5.dcm,2644,2644,1253763,2113,20.1,0,61.157,3.328,1665.6,144.624,14.059,5.627,9.302743119,5.594240451,Young 2,1
I20200224193553.1.dcm,2309,2309,904887,1933,20.42,11.68,61.657,20.623,1475.778,491.985,12.341,6.008,8.27302809,5.883105914,Young 2,1
I20200224193553.2.dcm,2479,2479,1027502,2105,6.84,0,59.12,3.693,1298.3,221.596,13.436,4.93,7.831294261,5.587307461,Young 2,1
I20200224193553.3.dcm,2430,2430,1263304,2127,14.5,0,62.309,7.792,1761,232.25,22.767,5.063,17.1914586,4.822720096,Young 2,1
I20200224193943.1.dcm,2323,2323,905025,1922,18,0,61.655,21.095,1447.667,493.577,12.129,6.047,8.252495833,5.792159025,Very Young,2
I20200224193943.3.dcm,2166,2166,844242,1826,19.89,0,46.531,8.236,1133.3,99.298,14.022,8.213,7.488369724,6.690347022,Very Young,2
I20200224193943.4.dcm,2106,2106,772154,1738,21.07,0,56.128,21.124,1275,529.268,4.897,3.921,-0.9351975397,3.478105036,Very Young,2
I20200224193943.5.dcm,2426,2426,995184,1995,16.65,0,57.346,4.188,1552.5,222.095,10.135,4.662,3.280785172,3.906878126,Very Young,2
I20200224193943.6.dcm,2190,2190,869185,1803,19.74,0,49.404,5.428,1156.2,200.015,3.717,3.797,0.3522721593,3.245242966,Very Young,2
I20200224193943.7.dcm,1904,1904,668175,1833,15.78,0,51.884,3.628,1232.7,79.812,6.86,3.925,1.120063844,4.144868172,Very Young,2
I20200224194123.1.dcm,2267,2267,900147,1918,12.22,0,53.137,5.792,1316.6,199.366,11.299,5.357,7.891575133,5.050992961,Very Young,2
I20200224194123.2.dcm,2296,2296,923437,1856,17,0,53.996,3.785,1326.2,152.581,12.846,3.717,5.457570371,3.333071546,Very Young,2
I20200224194123.3.dcm,2250,2250,885780,1831,16.58,0,48.965,3.631,1034.7,123.167,11.523,4.902,6.717385021,4.137654159,Very Young,2
I20200224194123.4.dcm,2269,2269,967232,1946,23.58,0,51.027,5.52,1013.6,179.285,8.539,5.105,4.756316119,4.038748491,Very Young,2
I20200224194123.5.dcm,2195,2195,965156,1916,16.25,0,58.337,5.18,1449.4,138.896,10.173,4.245,4.82598209,3.826044496,Very Young,2
I20200224194123.7.dcm,1803,1803,440588,1729,18.26,0,47.984,4.157,1161.4,139.896,3.024,3.009,-1.646658413,2.856799382,Very Young,2
I20200224194233.1.dcm,2234,2234,882575,1928,22.56,0,53.154,4.582,1297.9,240.208,10.805,5.488,7.463046864,5.610376533,Very Young,2
I20200224194233.2.dcm,2302,2302,849655,1861,14.55,0,57.116,3.014,1420.1,113.327,8.471,4.802,1.978823622,4.522808304,Very Young,2
I20200224194233.3.dcm,1967,1967,694626,1794,14.79,0,47.397,6.435,1224.9,199.464,4.611,3.232,-3.047039894,3.479923438,Very Young,2
I20200224194233.4.dcm,2188,2188,886391,1943,22.76,0,58.634,5.351,1400.8,229.035,4.69,4.153,-1.258781267,3.402183632,Very Young,2
I20200224194233.5.dcm,1847,1847,788248,1893,17.19,0,51.23,7.515,1175.2,200.781,3.257,4.144,-0.8753682473,3.153966575,Very Young,2
I20200224194233.6.dcm,2196,2196,817613,1818,17.16,0,47.829,3.874,1069.3,120.241,4.029,4.656,0.5020242105,4.185588557,Very Young,2
I20200224194233.7.dcm,2144,2144,572283,1841,26.09,0,48.204,5.33,1095.333,129.815,6.071,5.003,2.450536212,4.440717505,Old,Wild Type
I20200224194418.1.dcm,2282,2282,914098,1875,19.84,0,55.468,3.032,1321.6,110.34,9.281,5.676,4.495583937,5.925874871,Old,Wild Type
I20200224194418.2.dcm,2779,2779,1820267,2732,19.74,5.81,76.584,26.729,2339.889,843.578,32.691,6.849,26.92706275,5.773241445,Old,Wild Type
I20200224194418.3.dcm,2922,2922,2088525,2845,26.9,0,73.498,8.46,1959.5,300.515,33.736,8.349,25.93569466,7.527817615,Old,Wild Type
I20200224194418.4.dcm,3165,3165,1980495,2792,24.96,0,83.527,26.352,2586.875,939.895,32.08,8.16,25.91627894,7.788485007,Old,Wild Type
I20200224194418.5.dcm,3039,3039,1466673,2634,17.7,0,73.429,7.18,2427.1,270.505,27.651,7.872,22.83580192,7.688637546,Old,Wild Type
I20200224194621.1.dcm,2241,2241,898269,1926,21.16,0,57.042,4.929,1316.9,141.213,8.928,5.715,4.371155643,5.844781083,Old,Wild Type
I20200224194621.2.dcm,2805,2805,1470115,2415,26.52,16.07,69,6.979,1755.3,366.648,18.051,6.874,11.74015481,5.366059207,Old,Wild Type
I20200224194621.3.dcm,3100,3100,1856335,2594,29.37,0,69.158,8.47,1943.9,271.801,22.126,7.228,17.07174328,5.219511861,Old,Wild Type
I20200224194621.4.dcm,3062,3062,1609487,2478,29.94,0,78.233,27.179,2255.667,717.636,22.485,7.183,17.24958185,6.442605263,Old,Wild Type
I20200224194621.5.dcm,3188,3188,1938264,2588,22.79,0,70.974,7.059,2136.4,327.719,22.71,7.898,17.58462913,6.217878388,Old,Wild Type
I20200224194758.1.dcm,2237,2237,891088,1920,25.13,0,59.018,21.738,1278.444,487.779,7.708,6.183,4.370482876,5.949657926,Old,Wild Type
I20200224194758.2.dcm,2276,2276,1358807,2289,28.62,0,47.895,11.885,1321.9,393.062,16.143,3.328,11.73924664,3.056946877,Old,Wild Type
I20200224194758.3.dcm,2425,2425,1467514,2141,80.3,0,123.059,32.522,2676.333,727.374,15.947,6.443,9.140943841,5.572462424,Old,Wild Type
I20200224194758.4.dcm,2832,2832,1547659,2309,27.33,0,70.572,8.208,2250.1,268.727,21.414,4.959,11.26480433,5.028695383,Old,Wild Type
I20200224195004.1.dcm,2229,2229,882613,1921,22.34,0,53.569,5.638,1094.6,150.333,10.097,5.77,6.331584095,5.628881997,Old,Wild Type
I20200224195004.2.dcm,2882,2882,1542770,2438,30.38,0,76.9,29.987,2029.333,779.048,22.22,7.052,14.87667155,5.853500775,Old,Wild Type
I20200224195004.3.dcm,2657,2657,1343295,2266,22.53,0,62.542,6.67,1818.7,375.319,14.119,5.124,6.664120413,4.645958485,Old,Wild Type
I20200224195004.4.dcm,2944,2944,1511413,2363,26.69,16.46,65.846,7.621,2040.5,469.909,23.347,6.436,13.06356523,6.813503043,Old,Wild Type
I20200224195004.5.dcm,2889,2889,1661767,2349,41.89,0,78.154,14.869,2016.9,421.514,26.512,8.443,18.34417901,6.853726148,Old,Wild Type
I20200224195004.6.dcm,2840,2840,1277116,2371,17.05,0,63.049,4.862,1588,231.705,25.135,6.314,18.67502715,5.954622758,Old,Wild Type
I20200224195128.1.dcm,2221,2221,878694,1903,9.39,0,51.838,4.221,1153.5,214.583,9.831,5.92,6.048791484,5.843887169,Old,Wild Type
I20200224195128.2.dcm,3168,3168,1618632,2644,32.95,19.68,77.528,7.297,2328,419.258,23.346,5.193,14.60802707,5.351382592,Old,Wild Type
I20200224195128.3.dcm,2871,2871,1671441,2497,30.48,0,77.259,12.926,2049.2,338.982,26.876,6.37,19.61391697,5.897651123,Old,Wild Type
I20200224195128.4.dcm,3430,3430,2018000,2947,35.1,0,80.519,15.356,2350,507.827,29.372,4.984,20.79763171,3.438461704,Old,Wild Type
I20200224195128.5.dcm,3148,3148,1699449,2565,25.63,0,66.348,5.92,1612.3,286.592,23.035,5.184,14.26145804,5.458654525,Old,Wild Type
I20200224195316.1.dcm,2233,2233,888528,1950,21.49,0,53.528,5.187,1165.7,174.574,8.772,5.67,4.805495494,5.724941215,Old,Wild Type
I20200224195316.2.dcm,2338,2338,1482258,2331,23.49,0,94.787,18.952,2233.111,567.652,27.792,6.878,21.58258181,5.828310194,Old,Wild Type
I20200224195316.4.dcm,2513,2513,1641676,2346,38.88,0,72.279,6.562,2067.7,353.732,28.504,8.845,21.82399489,7.805673767,Old,Wild Type
I20200224195525.1.dcm,2228,2228,883345,1914,25.38,14.31,52.04,3.188,991.5,178.031,6.594,5.492,3.512946316,5.772427864,Old,Wild Type
I20200224195525.2.dcm,2930,2930,1697746,2660,37.75,0,78.441,7.572,2551.9,125.216,44.107,7.557,37.14565824,7.885724679,Old,Wild Type
I20200224195525.3.dcm,3399,3399,2365835,2969,53.36,30.76,80.478,13.501,2489.1,409.588,42.043,9.578,37.90912024,8.260943362,Old,Wild Type
I20200224195525.4.dcm,2825,2825,1829024,2622,42.95,22.03,74.685,6.865,2311.6,277.671,36.246,7.983,27.41472279,7.534310797,Young 1,3
I20200224200123.1.dcm,2275,2275,783675,1940,20.32,0,53.725,4.57,1154.5,201.72,8.609,6.187,4.517667565,5.994675298,Young 1,3
I20200224200123.2.dcm,1735,1735,607412,1787,17.82,0,44.627,2.472,821,117,-2.963,4.005,-5.635140164,3.835142191,Young 1,3
I20200224200123.3.dcm,2029,2029,627542,1824,4.26,10.26,50.106,6.241,1334.889,174.491,10.158,8.129,8.910248911,8.288778785,Young 1,3
I20200224200123.4.dcm,2094,2094,1082663,2104,20.74,7.42,60.091,4.38,1395.7,178.053,8.009,6.126,1.182884099,5.844172954,Young 1,3
I20200224200123.5.dcm,1928,1928,713353,1701,12.8,0,48.063,4.926,1054.4,153.535,-2.978,4.775,-7.260470423,3.974352591,Young 1,3
I20200224200123.6.dcm,2027,2027,681478,1931,12.19,7.53,47.205,4.114,1043.3,131.613,1.333,4.211,-4.086898218,4.085083034,Young 1,3
I20200224200123.7.dcm,2159,2159,921165,1844,20.41,0,54.909,6.578,1260.4,309.118,-0.069,7.212,-5.004677972,5.691788762,Young 1,3
I20200224200246.1.dcm,2279,2279,786520,1954,18.8,0,54.533,3.781,1315.4,170.118,8.082,6.288,3.357026521,6.485530808,Young 1,3
I20200224200246.2.dcm,2291,2291,932995,1974,20.62,0,54.795,4.493,1302.8,162.665,0.993,5.295,-4.990231676,5.655896117,Young 1,3
I20200224200246.3.dcm,1921,1921,712440,1722,17.79,7.04,55.056,17.89,1151.778,373.059,-4.801,4.223,-10.31330868,4.642023472,Young 1,3
I20200224200246.4.dcm,2122,2122,869062,1830,15.43,11.18,56.317,6.491,1404.1,233.585,5.298,4.756,-1.668094225,3.494240528,Young 1,3
I20200224200246.5.dcm,2173,2173,937827,1884,18.66,0,51.272,5.63,1208.3,229.534,4.002,5.213,0.06674806158,3.792178654,Young 1,3
I20200224200246.6.dcm,2172,2172,809357,1818,23.99,0,62.553,24.601,1430.444,612.363,5.26,4.349,-0.06591746945,3.186344101,Young 1,3
I20200224200246.7.dcm,1915,1915,754091,1700,20.99,0,55.57,17.132,1272.111,345.981,1.319,7.735,-4.906039455,6.290864849,Young 1,3
I20200224200415.1.dcm,2049,2049,824687,1934,16.11,5.22,60.982,20.895,1429.667,494.613,8.505,6.031,3.853619218,6.076183736,Young 1,3
I20200224200415.2.dcm,2107,2107,713825,1832,10.36,0,51.591,2.827,1240.1,291.781,1.818,7.934,-4.113189656,7.900046053,Young 1,3
I20200224200415.3.dcm,2215,2215,759634,1940,16.29,0,50.675,6.89,1241.2,238.937,1.964,3.649,-2.79848729,2.90535899,Young 1,3
I20200224200415.4.dcm,1611,1611,661005,1666,19.03,0,49.78,5.185,979.444,132.706,-4.036,3.207,-7.390839019,2.363350147,Young 1,3
I20200224200415.5.dcm,1637,1637,758903,1840,0,0,61.122,37.714,1320.375,768.865,4.231,3.988,-0.2013446616,3.366625935,Young 1,3
I20200224200415.6.dcm,1937,1937,835493,1770,14.39,0,49.417,3.737,1070.2,164.35,0.489,4.63,-2.833228411,4.265622086,Young 1,3
I20200224200415.7.dcm,1725,1725,583529,1804,0,179.84,48.331,4.152,1097.6,144.79,2.979,3.781,0.3600062353,2.925634183,Very Young,Wild Type
I20200224200605.1.dcm,2052,2052,823621,1972,17.35,6.37,51.775,3.042,1087.6,106.424,5.956,5.956,2.571001164,6.26942434,Very Young,Wild Type
I20200224200605.3.dcm,2348,2348,919945,1995,18.62,13.92,50.834,3.429,1187.1,139.8,4.514,5.417,0.4034128947,3.878476282,Very Young,Wild Type
I20200224200605.4.dcm,2035,2035,1024504,2118,36.98,0,61.605,10.121,1287.6,123.624,9.188,8.532,0.8003265717,7.027197863,Very Young,Wild Type
I20200224200605.5.dcm,2166,2166,849574,1901,17.81,10.12,58.222,20.551,1446.556,467.711,1.848,5.126,-6.169335831,6.138666329,Very Young,Wild Type
I20200224200605.6.dcm,2031,2031,1098544,2028,19.83,6.17,63.84,26.117,1487.4,571.169,2.427,6.574,-2.284245173,6.160773975,Very Young,Wild Type
I20200224200713.1.dcm,2047,2047,821767,1927,19.47,0,55.078,5.059,1251.3,289.147,8.477,5.751,3.590112633,5.216549032,Very Young,Wild Type
I20200224200713.2.dcm,1911,1911,702446,1857,0,0,49.863,6.633,1175.4,188.812,2.742,5.746,-3.546751562,4.926496935,Very Young,Wild Type
I20200224200713.3.dcm,2203,2203,1035614,2118,29.4,0,59.213,9.074,1316.6,156.93,6.265,5.608,0.763385635,5.074690141,Very Young,Wild Type
I20200224200713.4.dcm,2278,2278,1083693,2054,24.92,11.96,55.953,3.014,1375.444,126.933,2.84,4.209,-3.18028165,4.021083041,Very Young,Wild Type
